Rank,Company Name,Country,Number of Employees,"Previous 
252,Greenland Holding Group,China,33473,277,42970,0.154,1337.2,0.232,130303
253,Pertamina,Indonesia,27817,289,42959,0.177,2540.2,-0.193,51213.6
254,E.ON,Germany,42699,231,42795,0.014,4424.3,0,67183
255,Liberty Mutual Insurance Group,USA,50000,265,42687,0.114,17,-0.983,142502
256,Sinomach,China,150967,334,42638,0.323,471.8,-0.06,58593
257,Swiss Re,Switzerland,14485,220,42487,-0.03,398,-0.89,222526
258,New York Life Insurance,USA,11114,243,42296,0.037,1866.9,0.716,303183
259,Goldman Sachs Group,USA,36600,271,42254,0.12,4286,-0.421,916776
260,American Airlines Group,USA,126600,253,42207,0.05,1919,-0.283,51396
261,Best Buy,USA,125000,258,42151,0.07,1000,-0.186,13049
262,Repsol,Spain,22375,306,41863,0.214,2390.8,0.245,71874
263,Cigna,USA,46000,256,41616,0.049,2237,0.198,61753
264,Charter Communications,USA,94800,376,41581,0.434,9895,1.809,146623
265,SSE,Britain,20785,269,41383,0.094,1088.8,-0.477,32559.6
266,Delta Air Lines,USA,86564,257,41244,0.04,3577,-0.182,53292
267,Zhejiang Geely Holding Group,China,77073,343,41172,0.31,1820.3,0.438,42445.6
268,ZF Friedrichshafen,Germany,146148,263,41080,0.056,1221.9,0.286,33421
269,Metro,Germany,135890,-,40957,0,358.4,0,18651.3
270,Wuchan Zhongda Group,China,19071,348,40929,0.312,330.7,0.02,13197.8
271,Sanofi,France,106570,240,40810,-0.014,9506.9,0.826,119867.9
272,Brookfield Asset Management,Canada,80750,441,40786,0.671,1462,-0.114,19272
273,China United Network Communications,China,252522,241,40664,-0.015,63,1.717,88086.2
274,Facebook,USA,25105,393,40653,0.471,15934,0.56,84524
275,Honeywell International,USA,131000,260,40534,0.031,1655,-0.656,59387
276,Merck,USA,69000,255,40122,0.008,2394,-0.389,87872
277,Lufthansa Group,Germany,110917,303,40105,0.146,2664.7,0.357,43548.3
278,Rio Tinto Group,Britain,46807,316,40030,0.185,8762,0.898,95726
279,Mitsubishi Electric,Japan,142340,262,39995,0.022,2453.9,0.263,40106.8
280,China Merchants Group,China,108737,-,39971,0.242,4039.4,0.059,183913.8
281,SABIC,Saudi Arabia,34000,299,39939,0.047,4914.9,0.046,85992.7
282,Power Corp. of Canada,Canada,30484,266,39493,0.032,1031,0.205,355620.2
283,Jardine Matheson,China,444000,279,39456,0.065,3785,0.512,82814
284,ACS,Spain,122120,281,39338,0.063,904,0.089,38281.3
285,Pegatron,Taiwan,130052,296,39238,0.093,482.6,-0.195,16411.3
286,Volvo,Sweden,93296,301,39172,0.111,2455.2,0.599,50393.9
287,Magna International,Canada,168000,290,38946,0.069,2206,0.086,25393
288,Shaanxi Yanchang Petroleum (Group),China,130614,326,38898,0.191,166.8,-,50590.3
289,China Huaneng Group,China,138473,274,38872,0.035,215.6,-,159644.8
290,GlaxoSmithKline,Britain,98462,273,38868,0.033,1972.6,0.603,76252.4
291,Talanx,Germany,20419,302,38603,0.1,757.5,-0.245,190184.9
292,Royal Bank of Canada,Canada,78210,304,38551,0.104,8735.6,0.114,940998.5
293,Allstate,USA,42680,288,38524,0.054,3189,0.699,112422
294,Shaanxi Coal & Chemical Industry,China,119416,337,38483,0.205,73.6,-,71262.3
295,AIA Group,China,20000,383,38330,0.359,6120,0.47,215691
296,BHP Billiton,Australia,26146,350,38285,0.239,5890,-,117006
297,Tyson Foods,USA,122000,283,38260,0.037,1774,0.003,28066
298,Fresenius,Germany,273249,335,38197,0.172,2044.8,0.185,63800.4
299,Alimentation Couche-Tard,Canada,120000,311,37905,0.11,1208.9,0.013,14171.2
300,Alibaba Group Holding,China,66421,462,37771,0.606,9673.1,0.491,113979
301,United Continental Holdings,USA,89800,287,37736,0.032,2131,-0.058,42326
302,Oracle,USA,138000,280,37728,0.018,9335,0.049,134991
303,J. Sainsbury,Britain,121200,310,37711,0.104,409.5,-0.166,30856.9
304,Poste Italiane,Italy,136555,285,37695,0.029,776.7,0.129,243359.8
305,Maersk Group,Denmark,85667,298,37500,0.057,-1205,-,63227
306,UBS Group,Switzerland,61253,291,37317,0.03,1069.8,-0.671,939794.7
307,Bouygues,France,115530,300,37259,0.056,1223,0.511,42961.1
308,George Weston,Canada,198000,293,37212,0.028,584.9,0.41,30730.4
309,Meiji Yasuda Life Insurance,Japan,42261,297,37160,0.039,2392.2,0.159,390702.8
310,Edeka Zentrale,Germany,369000,309,37125,0.086,345,-0.031,8863.8
311,Mitsubishi Heavy Industries,Japan,80652,294,37103,0.027,636.2,-0.214,51609.6
312,China Poly Group,China,88407,341,37002,0.174,1152.6,0.549,138876.4
313,Fujitsu,Japan,140365,237,36991,-0.111,1528.4,0.872,29356.9
314,Bharat Petroleum,India,12924,360,36851,0.216,1397.5,0.075,18464.9
315,Tech Data,USA,14000,412,36775,0.402,116.6,-0.402,12652.6
316,Accenture,Ireland,425000,305,36766,0.057,3445.1,-0.162,22689.9
317,Canon,Japan,197776,347,36388,0.164,2157.6,0.558,46153.7
318,Centrica,Britain,34901,286,36083,-0.014,428.8,-0.81,27952.4
319,TIAA,USA,16829,278,36025,-0.029,1049.7,-0.297,583631.7
320,SNCF Mobilites,France,201816,317,35880,0.063,1280.5,1.266,47827.8
321,TJX,USA,249000,321,35865,0.081,2607.9,0.135,14058
322,China Everbright Group,China,66100,329,35840,0.104,1895.1,0.009,686170.8
323,Midea Group,China,101826,450,35794,0.488,2557.3,0.157,38099.9
324,Intesa Sanpaolo,Italy,96892,292,35752,-0.013,8246.7,1.397,956845.6
325,Vale,Brazil,74098,370,35713,0.216,5507,0.383,99184
326,Toshiba,Japan,141256,-,35630,-0.207,7256.8,-,41928.1
327,American Express,USA,55000,315,35583,0.052,2736,-0.494,181159
328,Coca-Cola,USA,61800,235,35410,-0.154,1248,-0.809,87896
329,Aisin Seiki,Japan,114478,324,35281,0.073,1214.4,0.039,33178.9
330,Iberdrola,Spain,28750,332,35240,0.091,3160.7,0.057,132911.3
331,Tencent Holdings,China,44796,478,35179,0.538,10580.6,0.71,85177
332,China Vanke,China,77708,307,35117,0.019,4150.5,0.312,178968
333,China Energy Engineering Group,China,168260,312,35048,0.033,371.7,-0.117,54635
334,Publix Super Markets,USA,193000,308,34837,0.016,2291.9,0.131,18183.5
335,China COSCO Shipping,China,100550,366,34668,0.166,1404.3,-0.057,109043.9
336,Barclays,Britain,79900,284,34507,-0.062,-1652,-1.588,1532658.9
337,Toronto-Dominion Bank,Canada,83160,351,34501,0.118,7946.7,0.196,992315.2
338,LyondellBasell Industries,Netherlands,13400,374,34484,0.182,4879,0.272,26206
339,Noble Group,China,500,205,34421,-0.26,-4938.2,-571.696,4809.5
340,Nike,USA,74400,331,34350,0.061,4240,0.128,23259
341,ABB,Switzerland,134800,314,34312,0.014,2213,0.165,43262
342,Daiwa House Industry,Japan,60539,330,34262,0.057,2133.3,0.146,37950.5
343,China Aerospace Science & Technology,China,173102,336,34254,0.067,2225.2,0.115,63057.5
344,Andeavor,USA,14300,453,34204,0.425,1528,1.082,28573
345,Enbridge,Canada,12700,416,34196,0.312,2203,0.411,129384.6
346,China Aerospace Science & Industry,China,145987,355,34073,0.114,1607.1,0.113,44273.7
347,Sompo Holdings,Japan,48544,340,34028,0.078,1262,-0.178,112370.2
348,Suzuki Motor,Japan,65179,373,33912,0.159,1947.1,0.319,31419.4
349,Commonwealth Bank of Australia,Australia,45614,333,33887,0.05,7484.7,0.115,748753.1
350,Sumitomo Life Insurance,Japan,42835,242,33821,-0.174,630.3,0.218,338911.3
351,World Fuel Services,USA,5000,402,33696,0.247,-170.2,-2.345,5587.8
352,Mitsubishi Chemical Holdings,Japan,69230,349,33616,0.079,1911.5,0.326,44207.6
353,Country Garden Holdings,China,124837,467,33572,0.457,3856.3,1.224,16119
354,Quanta Computer,Taiwan,109624,390,33564,0.211,472.2,0.006,20617.7
355,DZ Bank,Germany,28201,327,33563,0.028,1078.7,-0.335,607101.3
356,Exelon,USA,34621,344,33531,0.069,3770,2.325,1167
357,Massachusetts Mutual Life Insurance,USA,11811,270,33495,-0.114,513,-0.597,288854.8
358,JFE Holdings,Japan,61234,356,33202,0.087,1305.5,1.082,41953.4
359,Jizhong Energy Group,China,118660,320,33188,-0.005,-141.5,-,35380.7
360,Xiamen ITG Holding Group,China,19639,494,32902,0.5,106.3,1.984,15282.1
361,Cedar Holdings Group,China,31065,-,32712,0.384,1068.1,0.271,20737.8
362,Xiamen C&D,China,21133,488,32588,0.472,305.1,0.089,32280.1
363,ConocoPhillips,USA,11400,444,32584,0.338,-855,-,73362
364,Jiangsu Shagang Group,China,34634,365,32561,0.09,1061.8,2.016,26829.1
365,Bridgestone,Japan,142669,353,32495,0.059,2571,0.053,35150.8
366,Chubb,Switzerland,31000,342,32243,0.025,3861,-0.066,167022
367,Mizuho Financial Group,Japan,60051,357,32142,0.058,5203.8,-0.066,1928226.3
368,Taiwan Semiconductor Manufacturing,Taiwan,48602,369,32126,0.093,11339.3,0.103,66949
369,China Electronics,China,137135,362,31990,0.066,166.8,-0.482,404
370,Jiangxi Copper,China,24416,339,31964,0.009,113.5,4.573,18888.8
371,China National Aviation Fuel Group,China,12643,439,31942,0.299,401.6,0.255,781
372,CHS,USA,11626,359,31935,0.052,127.9,-0.699,15973.8
373,Credit Suisse Group,Switzerland,46840,354,31900,0.043,-998.7,-,817293.4
374,CK Hutchison Holdings,China,300000,319,31892,-0.047,4504.5,0.059,140751.6
375,Xiamen Xiangyu Group,China,7926,-,31676,0.698,147.2,0.346,14081.5
376,3M,USA,91536,361,31657,0.051,4858,-0.038,37987
377,BT Group,Britain,105800,346,31439,0.003,2692.9,0.084,59970.5
378,Mazda Motor,Japan,49755,367,31356,0.057,1011.4,0.169,25656.8
379,Time Warner,USA,26000,371,31271,0.067,5247,0.336,69209
380,Hyundai Mobis,South Korea,29492,323,31091,-0.057,1387.3,-0.47,38991.8
381,Xinxing Cathay International Group,China,56701,322,31078,-0.063,440,-0.018,21110.4
382,CRH,Ireland,89213,363,31069,0.037,2136.1,0.554,37983.9
383,General Dynamics,USA,98600,345,30973,-0.012,2912,-0.015,35046
384,Subaru,Japan,37771,352,30735,0.001,1988.9,-0.237,27126.1
385,CRRC,China,176754,318,30634,-0.092,1597.7,-0.06,57612.2
386,Schlumberger,USA,100000,388,30440,0.095,-1505,-,71987
387,Rite Aid,USA,48410,325,30215,-0.08,943.5,231.783,8989.3
388,China Electronics Technology Group,China,168923,400,30176,0.106,1774.3,0.101,46790.3
389,Johnson Controls International,Ireland,121000,272,30172,-0.199,1611,-,51884
390,United Services Auto. Assn.,USA,32705,401,30016,0.106,2421.9,0.361,155390.5
391,Capital One Financial,USA,49300,395,29999,0.09,1982,-0.472,365693
392,L’Oreal,France,82606,379,29926,0.047,4037,0.175,42434.1
393,China State Shipbuilding,China,70009,364,29797,-0.003,370.8,0.009,44674.5
394,Deere,USA,60476,407,29738,0.116,2159.1,0.417,65786.3
395,State Power Investment,China,127182,368,29727,0.008,198.6,-0.545,154358.3
396,Medtronic,Ireland,102688,377,29710,0.03,4028,0.138,99816
397,China Huadian,China,105006,382,29612,0.05,333.3,-0.076,122354.9
398,Idemitsu Kosan,Japan,8955,423,29606,0.144,1464.9,0.8,27464.2
399,Yankuang Group,China,104746,-,29474,0.401,-280.1,-,44190.7
400,INTL FCStone,USA,1607,-,29424,0.994,6.4,-0.883,6243.4
401,Northwestern Mutual,USA,5437,378,29331,0.018,1017,0.243,265049
402,UniCredit Group,Italy,91952,328,29257,-0.101,6169.3,-,1004790.7
403,Enterprise Products Partners,USA,7000,469,29242,0.27,2799.3,0.114,54418.1
404,Compal Electronics,Taiwan,63491,458,29175,0.227,189,-0.25,12213.7
405,Rajesh Exports,India,350000,295,29125,-0.194,196.4,0.057,3608.8
406,Air France-KLM Group,France,80595,386,29064,0.041,-308.9,-1.353,29308.4
407,Travelers Cos.,USA,30800,394,28902,0.046,2056,-0.318,103483
408,Inditex,Spain,171839,428,28887,0.123,3840.1,0.102,25200.5
409,Hewlett Packard Enterprise,USA,66000,181,28871,-0.424,344,-0.891,61406
410,Cathay Life Insurance,Taiwan,39822,411,28805,0.096,1192.8,0.277,204963.2
411,Philip Morris International,USA,80600,406,28748,0.077,6035,-0.134,42968
412,Coop Group,Switzerland,74532,392,28601,0.034,492.7,0.022,19995.9
413,Compass Group,Britain,588112,387,28578,0.027,1470.2,0.044,14727
414,Westpac Banking,Australia,35096,391,28565,0.031,6083.2,0.111,668294.5
415,Migros Group,Switzerland,79303,385,28518,0.013,524.2,-0.244,66284.5
416,Twenty-First Century Fox,USA,21700,396,28500,0.043,2952,0.072,50724
417,Phoenix Pharma,Germany,27638,403,28401,0.053,184.4,0.361,1041
418,Medipal Holdings,Japan,15993,381,28398,0.004,313.9,0.172,15250.4
419,Veolia Environnement,France,164385,404,28321,0.05,452.7,0.069,46000.4
420,Kansai Electric Power,Japan,32520,389,28283,0.018,1370.8,0.055,65692.5
421,Samsung Life Insurance,South Korea,5244,413,28273,0.078,1031.6,-0.417,264119.8
422,AbbVie,USA,29000,429,28216,0.101,5309,-0.108,70786
423,Royal Philips,Netherlands,73951,375,28071,-0.032,1867.8,0.166,30397.5
424,Schneider Electric,France,142013,399,27891,0.021,2423.5,0.252,47849.4
425,Sumitomo Electric Industries,Japan,255133,420,27820,0.071,1086.1,0.094,28376.8
426,Danone,France,104843,446,27816,0.146,2765.1,0.454,53155.6
427,Suning.com Group,China,121102,485,27806,0.243,623.3,4.878,24151.8
428,Ansteel Group,China,145771,-,27792,0.326,61.1,-,54643.1
429,Gas Natural Fenosa,Spain,15374,417,27653,0.061,1533,0.029,56822.8
430,Bank of Nova Scotia,Canada,88645,424,27555,0.067,6119.1,0.141,710119.5
431,Shougang Group,China,115482,-,27489,0.354,0.9,-,76956.8
432,Wistron,Taiwan,82955,-,27480,0.343,127.7,0.391,10979.9
433,Abbott Laboratories,USA,99000,-,27390,0.313,477,-0.659,7625
434,La Poste,France,236223,427,27177,0.055,959.3,0.022,296184
435,Koc Holding,Turkey,94111,463,27108,0.156,1345.9,0.176,27452.5
436,CPC,Taiwan,14814,-,27106,0.266,1324.9,0.455,25043.6
437,Progressive,USA,33656,464,26839,0.145,1592.2,0.544,38701.2
438,GS Caltex,South Korea,2920,486,26821,0.208,1272.2,0.042,18762.9
439,Mapfre Group,Spain,36271,426,26817,0.04,789.6,-0.079,81135.3
440,Arrow Electronics,USA,18800,456,26813,0.125,402,-0.231,16462.8
441,Adecco Group,Switzerland,34000,434,26670,0.062,888.2,0.111,11875.6
442,SK Hynix,South Korea,28000,-,26636,0.797,9414,2.698,42431.3
443,East Japan Railway,Japan,86389,408,26627,0.002,2608.1,0.017,76626.3
444,LafargeHolcim,Switzerland,81960,398,26545,-0.028,-1701.7,-1.936,65358.7
445,Altice,Netherlands,47143,473,26489,0.154,-615.5,-,86980.1
446,SAP,Germany,88543,443,26446,0.084,4529.2,0.123,51029.1
447,Onex,Canada,207000,474,26290,0.146,2394,-,44679
448,Australia & New Zealand Banking Group,Australia,44896,418,26283,0.01,4877.2,0.161,703950.7
449,Anglo American,Britain,69000,-,26243,0.228,3166,0.986,54561
450,Randstad Holding,Netherlands,37930,477,26234,0.147,711.7,0.095,11723
451,Kraft Heinz,USA,39000,410,26232,-0.01,10999,2.028,120232
452,Plains GP Holdings,USA,4850,-,26223,0.299,-731,-8.777,26753
453,British American Tobacco,Britain,62270,-,26128,0.312,48327.8,6.704,190746.6
454,CFE,Mexico,90000,-,26108,0.386,5704.4,0.398,80467.2
455,Gilead Sciences,USA,10000,358,26107,-0.141,4628,-0.657,70283
456,Xinjiang Guanghui Industry Investment,China,79747,495,26106,0.191,32.5,-0.871,37727.4
457,Nokia,Finland,101731,415,26092,-0.002,-1684.1,-,49260.3
458,Samsung C&T,South Korea,12953,447,25902,0.07,566,5.118,45823
459,Mondelez International,USA,83000,421,25896,-0.001,2922,0.761,63109
460,International Airlines Group,Britain,63422,435,25894,0.038,2255.6,0.056,32734.1
461,Northrop Grumman,USA,70000,440,25803,0.053,2015,-0.084,34917
462,Chubu Electric Power,Japan,30635,451,25753,0.072,671.3,-0.366,52009.7
463,NEC,Japan,111200,437,25673,0.044,414,0.643,26533.9
464,Yango Longking Group,China,20105,459,25605,0.082,452.5,1.842,45226.7
465,China Taiping Insurance Group,China,77472,-,25598,0.186,449.2,0.534,85774
466,Flex,Signapore,200000,455,25441,0.066,428.5,0.341,13715.9
467,Raytheon,USA,64000,449,25348,0.053,2024,-0.085,3086
468,China Datang,China,96735,454,25299,0.06,341.7,0.401,110688.9
469,PKN ORLEN Group,Poland,20262,-,25256,0.252,1762.5,0.322,17462.3
470,Ultrapar Holdings,Brazil,16448,487,25065,0.131,493.2,0.102,8545.8
471,KB Financial Group,South Korea,26846,-,25052,0.564,2929.5,0.586,408058.3
472,Achmea,Netherlands,14582,409,24872,-0.061,242.4,-,109205.1
473,Macy’s,USA,130000,425,24837,-0.037,1547,1.499,19381
474,Emirates Group,U.A.E,62356,480,24837,0.089,761.2,1.237,34737.4
475,Heineken Holding,Netherlands,80425,468,24831,0.078,1101.3,0.278,49272.3
476,Suncor Energy,Canada,12381,-,24793,0.219,3435.1,9.492,71435.2
477,Energie Baden-Wurttemberg,Germany,19939,-,24769,0.156,2315.4,-,46571.7
478,Michelin,France,107807,466,24754,0.071,1916.3,0.034,30339.8
479,Fubon Financial Holding,Taiwan,44173,-,24688,0.11,1778.9,0.185,232586.7
480,Adidas,Germany,56888,-,24669,0.156,1236.6,0.1,17437.6
481,Shanxi Jincheng Anthracite Coal Mining Group,China,132846,476,24659,0.078,57.3,18.201,38267
482,Heraeus Holding,Germany,13073,457,24622,0.035,-,-,5798.9
483,LG Display,South Korea,53891,479,24585,0.076,1594.8,1.041,27241.9
484,DXC Technology,USA,150000,-,24556,2.228,1751,-,33921
485,National Australia Bank,Australia,33422,405,24550,-0.089,4023.8,14.538,618439.6
486,Ceconomy,Germany,57582,123,24432,-0.623,1215.3,0.827,9787.2
487,Fomento Economico Mexicano,Mexico,295097,-,24341,0.138,2241.8,0.982,30083.6
488,US Foods Holding,USA,25204,475,24147,0.054,444.3,1.118,9037.2
489,Taikang Insurance Group,China,52424,-,24058,0.278,1683.2,0.329,109467.8
490,U.S. Bancorp,USA,72402,481,23996,0.055,6218,0.056,46204
491,Boehringer Ingelheim,Germany,49610,-,23888,0.176,-258.1,-1.126,34085
492,Rabobank Group,Netherlands,43810,472,23812,-0.066,1701,1.054,724052.6
493,CJ Corp.,South Korea,55424,-,23796,0.153,410.2,1.134,27396.7
494,Yangquan Coal Industry Group,China,135723,445,23793,-0.02,-117.1,-11.503,33075.6
495,Shanxi LuAn Mining Group,China,95796,448,23785,-0.013,0.5,-,37128.2
496,Henan Energy & Chemical,China,182480,-,23699,0.269,-68.6,-,39857.3
497,Datong Coal Mine Group,China,160836,430,23698,-0.075,66.8,-,51065.7
498,BAE Systems,Britain,76000,452,23592,-0.017,1099.6,-0.108,30366.5
499,Qingdao Haier,China,76896,-,23563,0.315,1024.7,0.352,23259.1
500,Ericsson,Sweden,100735,419,23556,-0.094,-4119.8,-21.552,31830.3
